Name,Owner,Category,District,Province,Location
10 Chinhere ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
11. Chundu ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
12. Helwin ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
13. Hesketh ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
14. Kazangarare ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
15. Mashongwe ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
16. Nyamakate ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
17. Nyamhunga ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
18. Nyangoma ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
19. Tengwe ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
20. Dete ,RDC ,RHC ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
21. Chidamoyo ,Mission Hosp. ,Rural Hosp. ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
22. Kapfunde  ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
22. Lynx ,Mine ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
23. Karoi Static ,Town Council ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
24. Lanroy  ,Govt. ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
25. Zebra Downs ,Govt. ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
26. ZRP ,Govt. ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
27. Chikangwe ,RDC ,Clinic ,Hururungwe District ,MASHONALAND WEST PROVINCE ,Africas
1. Kadoma ,Govt. ,District Hosp. ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
2. Ngezi ,Govt. ,Rural Hosp. ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
3. Vere ,Govt. ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
4. Nyamatani ,Govt. ,RHC ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
5. Nyabango ,Govt. ,RHC ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
6. Manyoni ,Govt. ,RHC ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
7. Muzvezve ,Govt. ,RHC ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
8. Kadoma Prison ,Govt. ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
9. Jondale ,Govt. ,RHC ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
10. Jompani ,Govt. ,RHC ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
11. Geja  ,Govt. ,RHC ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
12. Dondoshava ,Govt. ,RHC ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
. Donaine ,Govt. ,RHC ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
14.  Kadoma ZRP ,Govt. ,clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
15. Nyaunde ,Govt. ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
16. Rimuka (MCH) ,Municipality ,Hosp. ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
17.  Rimuka ,Municipality ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
18. Chemukute ,Municipality ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
19. Ingezi ,Municipality ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
20. Warverly ,Municipality ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
21. Turf Estate ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
22. Sanyati ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
23. Ordof ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
24. Muuyu ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
25. Murambwa ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
26. Manyewe ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
27. Mafindifindi ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africas
28. Chirikiti ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
29. Chenjiri ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
30. Bururu ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
31. Mukarati ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
32. St. Michaels ,Mission Hosp. ,Rural Hosp. ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
33. Sanyati  ,Mission Hosp. ,Rural Hosp. ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
34. Dalny Rufaro ,Mine ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
35. Venice ,Mine ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
36. Golden Valley ,Mine ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
37. Eiffel Flats ,Mine ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
38. Kadoma Textile  ,Industry ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
39. Population Services ,Pvt. ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
40. Jairos Jiri ,Pvt. ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
41. David Whitehead ,Industry ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
42. Battlefields ,Army ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
43. Blackmovel ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
44. Chingondo ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
45. Twintops ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
46. Patchway ,RDC ,Clinic ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
47. Gavhunga ,RDC ,RHC ,Kadoma District ,MASHONALAND WEST PROVINCE ,Africa
1. Kariba ,Govt. ,District hosp. ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
2. Gache Gache ,Govt. ,RHC ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
3. Kanyati ,Govt. ,RHC ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
4. Mola ,Govt. ,Clinic ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
5. Chalala ,RDC ,RHC ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
6. Msapakaruma ,RDC ,Clinic ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
7. Negande ,Govt. ,Clinic ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
8. Siakobvu ,Govt. ,Rural Hosp. ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
9. Mahombekombe ,Town Council ,Clinic ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
10. Nyamhunga ,Town Council ,Clinic ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
11. Caribbea Bay ,Pvt. ,Clinic ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
12. Crocodile  ,Pvt. ,Clinic ,Kariba District ,MASHONALAND WEST PROVINCE ,Africa
1. Chinhoyi ,Govt. ,Provincial Hosp. ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
2. Chinhoyi Prison ,Prisons ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
3. Chinhoyi Teachers  ,Higher Education ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
4. Chihoyi ZRP ,ZRP ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
5. Kenzamba ,Govt. ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
6. Murereka ,Govt. ,RHC ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
7. Zumbara ,Govt. ,RHC ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
8. Gudubu ,Govt. ,RHC ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
9. Chikonohono ,Municipality ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
10. Chinhoyi ,Municipality ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
11. Doma ,RDC ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
12. Hombwe ,RDC ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
13. Kosana ,RDC ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
14. Matoranjera ,RDC ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
15. Mukohwe ,RDC ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
16. Obva ,RDC ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
17. Umboe ,RDC ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
18. Godzi ,RDC ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
19. Runene ,Municipality ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
20. Mhangura Christian ,Mission Hosp. ,Rural Hosp. ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
21. C.S.C. ,Industry ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
22. Chitambo ,Pvt. ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
23. Shackelton ,Municipality ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
24. Nyamugomba ,Govt. ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
25. Green Valley ,Govt. ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
26. River Ranch ,Govt. ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
27. Umboe ,RDC ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
28. Alaska ,Govt. ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
29. ZPS ,Govt. ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
30. CSC ,Pvt. ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
3`1. Sunngdale ,Pvt. ,Clinic ,Makonde District ,MASHONALAND WEST PROVINCE ,Africa
1. Banket ,Govt. ,District Hosp. ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
2. Darwedale ,Govt. ,Rural Hosp. ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
3. Raffingora ,Govt. ,Rural Hosp. ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
4. Zvimba ,Govt. ,Rural Hosp. ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
5. Chivhere ,Govt. ,RHC ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
6. Gwebi ,Govt. ,RHC ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
7. Ziam ,Govt. ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
8. Ada Sisi ,RDC ,RHC ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
9. Aryshire ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
10. Chirau ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
11. Jari ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
12. Kutama ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
13. Kuwadzana ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
14. Madzorera ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
15. Masiyarwa ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
16. Mpumbu ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
17. Mt. Hampden ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
18. Mutorashanga ,RDC ,Rural Hosp. ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
19. Nyabira ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
20. Tobacco Research B. ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
21. Trelawney ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
22. Zowa ,RDC ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
23. Dzivarasekwa ,,Clinic RDC ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
Extension ,,,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
24. Father O‰ÛªHea ,Mission Hosp. ,Rural Hosp. ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
25. Ceasar  ,Mine ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
26. Muriel ,Mine ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
27. Sutton ,Mine ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
28. Vanad ,Mine ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
29. Aryshire ,Mine ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
30. Crest Breeders ,Industry ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
31. Zipam  ,Pvt. ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
32. Mapinga ,Govt. ,Clinic ,Zvimba District ,MASHONALAND WEST PROVINCE ,Africa
1. Sadza ,Govt. ,District Hosp. ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
2. Chivu ,Govt. ,Rural Hosp. ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
3. Nharira ,Govt. ,Rural Hosp. ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
4. Mufudziwakanaka ,Govt. ,RHC ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
5. Nyamhere ,Govt. ,RHC ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
6. Zvamatohwe ,Govt. ,RHC ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
7. ZRP ,ZRP ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
8. ZPS ,ZPS ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
9. Range ,Govt. ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
10. Bvumbura ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
11. Chivhu ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
12. Gandani ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
13. Gokomere  ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
14. Lanchashire ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
15. Madamombe ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
16. Manyene/Chambara ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
17. Masasa ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
18. Mbiru ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
19. Mushipe ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
20. Nhangabvi ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
21. Murzi ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
22. Musumba ,RDC ,Clinic  ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
23. Mutoro ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
24. Pokoteke ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
25. Rutanhire ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
26. Shumba ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
27. Unyetu ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
28. Wazvaremhaka ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
29. Wishire ,RDC ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
30. Daramombe ,Mission ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
31. Gandachibvuwa ,Mission ,Rural Hosp. ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
32. Mwerahari ,Mission ,Clinic ,Chikomba District ,MASHONALAND EAST PROVINCE ,Africa
1. Makumbe ,Govt. ,District Hosp. ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
2. Chikwaka ,Govt. ,Rural Hosp. ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
3. Bosha ,Govt. ,RHC ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
4. Mwanza ,Govt. ,RHC ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
5. Domboshava ,Govt. ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
6. Rusununguko ,Govt. ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
7. Goromonzi High ,Govt. ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
8. Bromley ,RDC ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
9. Chinamhora ,RDC ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
10. Chinyika ,RDC ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
11. Cranbone ,RDC ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
12. Henry John Rheimer ,RDC ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
13. John Rekin ,RDC ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
14. Kowoyo ,RDC ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
15. Kubatsirana (Acturus) ,Pvt. ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
16. Masukandoro ,Pvt. ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
17. Nyaure ,Pvt ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
18. Pote ,Pvt. ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
19. Rusike ,Pvt ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
20. Ruwa  ,Pvt ,clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
21. Acturus ,Mine ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
22. St Joseph ,Mission ,Clinic ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
23. Ruwa Rehabilitation ,Govt. ,Hospital ,Goromonzi District ,MASHONALAND EAST PROVINCE ,Africa
1. Hwedza ,Govt. ,District Hosp. ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
2. Garaba ,Govt. ,RHC ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
3. Goneso ,Govt. ,RHC ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
4. Goto ,Govt. ,RHC ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
5. Gotora ,Govt. ,RHC ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
6. Sengezi ,Govt. ,RHC ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
7. Chigondo ,RDC ,Clinic ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
8. Chikumaiwa ,Govt. ,Clinic ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
9. Mukamba ,RDC ,Clinic ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
10. Makarara ,RDC ,clinic ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
11. Zvidhuri ,RDC ,Clinic ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
12. Mt. St. Mary‰Ûªs ,Mission ,Rural Hosp. ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
13. Skimpton ,Govt. ,Clinic ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
14. Idube ,Govt. ,Clinic ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
15. Garaba ,Govt. ,Clinic ,Hwedza District ,MASHONALAND EAST PROVINCE ,Africa
1. Kotwa ,Govt. ,District Hosp. ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
2. Chiunye ,Govt. ,RHC ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
3. Gozi ,Govt. ,RHC ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
4. Kondo ,Govt. ,RHC ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
5. Makaha ,Govt. ,RHC ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
6. Masarakufa ,Govt. ,RHC  ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
7. Nyamanyoro ,Govt. ,RHC ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
8. St. Pius ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
9. Chisvo ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
10. Kapotesa ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
11. Kotwa ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
12. Masenda ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
13. Nyamapanda ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
14. Nyamatawa ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
15. Nyamukoho ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
16. Shinga ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
17. Suswe ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
18. Chimukoko ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
19. Chikwizo ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
20. Dendera ,RDC ,clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
21. Nyahuku ,RDC ,Clinic ,Mudzi District ,MASHONALAND EAST PROVINCE ,Africa
1. Murewa  ,Govt. ,District Hosp. ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
